ID,raw_event_ID,game_ID,half,start_time,end_time,player_ID,team_ID,action,successful,pos_x,pos_y
KEY-20190413CHINC-175,RAW-20190413CHINC-1017,20190413CHINC,1,21:16,21:36,45,CHI,challenge,0,9.6,62.1
KEY-20190413CHINC-176,RAW-20190413CHINC-1018,20190413CHINC,1,21:16,21:36,45,CHI,tackle,0,9.6,62.1
KEY-20190413CHINC-177,RAW-20190413CHINC-1019,20190413CHINC,1,21:16,21:36,146,NC,take_on,1,95.4,5.9
KEY-20190413CHINC-178,RAW-20190413CHINC-1020,20190413CHINC,1,21:18,21:38,45,CHI,foul,\N,6.2,62.8
KEY-20190413CHINC-179,RAW-20190413CHINC-1030,20190413CHINC,1,22:34,22:54,161,CHI,challenge,1,22.3,42.7
KEY-20190413CHINC-180,RAW-20190413CHINC-1031,20190413CHINC,1,22:34,22:54,64,NC,challenge,0,82.7,25.3
KEY-20190413CHINC-181,RAW-20190413CHINC-1033,20190413CHINC,1,22:35,22:55,34,CHI,recovery,\N,17.7,38.5
KEY-20190413CHINC-182,RAW-20190413CHINC-1034,20190413CHINC,1,22:36,22:56,161,CHI,challenge,0,31.1,39.3
KEY-20190413CHINC-183,RAW-20190413CHINC-1035,20190413CHINC,1,22:36,22:56,254,NC,challenge,1,73.9,28.7
KEY-20190413CHINC-184,RAW-20190413CHINC-1037,20190413CHINC,1,22:36,22:56,254,NC,tackle,1,73.9,28.7
KEY-20190413CHINC-185,RAW-20190413CHINC-1039,20190413CHINC,1,22:36,22:56,161,CHI,take_on,0,31.1,39.3
KEY-20190413CHINC-186,RAW-20190413CHINC-1042,20190413CHINC,1,22:40,23:00,42,NC,recovery,\N,63.1,25.4
KEY-20190413CHINC-187,RAW-20190413CHINC-1046,20190413CHINC,1,22:46,23:06,54,NC,dribble,1,72.4,50.2
KEY-20190413CHINC-188,RAW-20190413CHINC-1058,20190413CHINC,1,22:53,23:13,34,CHI,recovery,\N,23.8,27.8
KEY-20190413CHINC-189,RAW-20190413CHINC-1061,20190413CHINC,1,22:54,23:14,244,NC,recovery,\N,75.5,44.7
KEY-20190413CHINC-190,RAW-20190413CHINC-1080,20190413CHINC,1,23:17,23:37,65,CHI,dribble,1,39.0,19.5
KEY-20190413CHINC-191,RAW-20190413CHINC-1082,20190413CHINC,1,23:19,23:39,169,NC,challenge,0,68.5,42.1
KEY-20190413CHINC-192,RAW-20190413CHINC-1083,20190413CHINC,1,23:19,23:39,65,CHI,take_on,1,36.5,25.9
KEY-20190413CHINC-193,RAW-20190413CHINC-1084,20190413CHINC,1,23:19,23:39,169,NC,tackle,0,68.5,42.1
KEY-20190413CHINC-194,RAW-20190413CHINC-1104,20190413CHINC,1,23:46,24:06,254,NC,dribble,1,43.0,25.7
KEY-20190413CHINC-195,RAW-20190413CHINC-1117,20190413CHINC,1,23:58,24:18,222,CHI,foul,\N,34.4,60.3
KEY-20190413CHINC-196,RAW-20190413CHINC-1122,20190413CHINC,1,24:42,25:02,65,CHI,challenge,1,12.5,29.1
KEY-20190413CHINC-197,RAW-20190413CHINC-1125,20190413CHINC,1,24:42,25:02,64,NC,challenge,0,92.5,38.9
KEY-20190413CHINC-198,RAW-20190413CHINC-1131,20190413CHINC,1,24:44,25:04,169,NC,recovery,\N,85.7,35.0
KEY-20190413CHINC-199,RAW-20190413CHINC-1162,20190413CHINC,1,25:46,26:06,247,CHI,recovery,\N,32.8,62.0
KEY-20190413CHINC-200,RAW-20190413CHINC-1170,20190413CHINC,1,25:53,26:13,117,CHI,dribble,1,79.1,38.6
KEY-20190413CHINC-201,RAW-20190413CHINC-1173,20190413CHINC,1,25:54,26:14,125,NC,tackle,0,13.5,33.3
KEY-20190413CHINC-202,RAW-20190413CHINC-1174,20190413CHINC,1,25:54,26:14,125,NC,challenge,0,13.5,33.3
KEY-20190413CHINC-203,RAW-20190413CHINC-1175,20190413CHINC,1,25:54,26:14,117,CHI,take_on,1,91.5,34.7
KEY-20190413CHINC-204,RAW-20190413CHINC-1187,20190413CHINC,1,26:46,27:06,65,CHI,recovery,\N,2.0,6.3
KEY-20190413CHINC-205,RAW-20190413CHINC-1193,20190413CHINC,1,27:00,27:20,142,CHI,recovery,\N,12.9,12.1
KEY-20190413CHINC-206,RAW-20190413CHINC-1199,20190413CHINC,1,27:02,27:22,92,NC,recovery,\N,78.2,56.6
KEY-20190413CHINC-207,RAW-20190413CHINC-1202,20190413CHINC,1,27:03,27:23,54,NC,challenge,0,94.8,60.1
